StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,age,employed,hours_week,job_function,job_function_11_TEXT,job_level,job_level_6_TEXT,tenure_years,check_01,task_clarity,performance_criteria,solution_clarity,task_judgment,ai_tools,ai_tools_9_TEXT,ai_frequency,ai_percent,ai_activities,ai_integration,ai_speed,ai_quality,ai_verification,relative_performance,formal_evaluation,evaluation_outcome,deadline_performance,quality_performance,output_volume,digital_comfort,experience_years,attention_check,job_description,employment_confirm,eligible
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Are you 18 years of age or older?,Are you currently employed (including self-employed)?,"How many hours per week do you typically work in your primary job?

(Please enter a number. If your hours vary, give your best estimate.)",Which best describes your current primary job function? - Selected Choice,Which best describes your current primary job function? - Other (specify) - Text,Which best describes your current job level? - Selected Choice,Which best describes your current job level? - Other (specify) - Text,"How long have you been in your current role?

(Enter your best estimate in years. Decimals are OK (e.g., 0.5).)","To show that you are paying attention, please select “True.”",My core tasks have clear procedures or best practices.,Criteria for good performance are well-defined for my core tasks.,My core tasks usually have a clear correct solution.,My core tasks require substantial judgment because the correct approach is often unclear.,Which AI assistance tools do you use for work? (Select all that apply.) - Selected Choice,Which AI assistance tools do you use for work? (Select all that apply.) - Other (please specify) - Text,How often do you use AI assistance tools for work?,"Approximately what percentage of your work time involves using AI assistance tools?
(Enter a number from 0 to 100.)",For which activities do you use AI assistance tools at work?,AI assistance tools are integrated into my regular workflow.,AI assistance tools help me complete tasks faster.,AI assistance tools improve the quality of my work.,AI assistance tools often create extra work because I need to verify or correct outputs.,"Compared to others in similar roles, how would you rate your performance over the past 3 months?",Have you received a formal performance evaluation in your current role within the past 12 months?,How would you describe the overall outcome of your most recent performance evaluation?,"Over the past 4 weeks, I consistently met deadlines.","Over the past 4 weeks, my work quality met or exceeded expectations.","Over the past 4 weeks, I produced a high volume of output relative to my role.",I am comfortable learning and using new digital tools for work.,"How many years of full-time work experience do you have?
(Enter your best estimate in years. Decimals are OK.)",Please select 'Agree'.,"In one sentence, what is your primary job?",You indicated that you are currently employed. Is that correct?,eligible
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_11_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_9_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID22""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""eligible""}"
2026-02-11 12:05:29,2026-02-11 12:05:56,1,100,26,1,2026-02-11 12:05:56,R_3k7eQdRH4vvCAzZ,preview,EN,,2,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 12:06:29,2026-02-11 12:07:03,1,100,33,1,2026-02-11 12:07:03,R_35Znmn6E5ztZr4o,preview,EN,,1,2,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 12:07:08,2026-02-11 12:07:39,1,100,30,1,2026-02-11 12:07:39,R_3uBZgiY91bRRJTB,preview,EN,,1,1,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 12:09:52,2026-02-11 12:14:32,1,100,279,1,2026-02-11 12:14:32,R_3Iaqh0c4IPpcEV6,preview,EN,,1,1,,3,,5,,,2,4,3,4,5,,,6,,6,5,4,4,4,4,2,,4,3,4,5,,5,IT,1,
2026-02-11 12:14:37,2026-02-11 12:16:13,1,100,95,1,2026-02-11 12:16:13,R_3QOAoeRMOfSFse5,preview,EN,,1,1,,4,,4,,,2,2,4,4,3,,,4,,5,4,4,4,3,4,1,2,4,4,3,4,,4,Sales,1,
2026-02-11 12:31:10,2026-02-11 12:31:37,1,100,26,1,2026-02-11 12:31:37,R_6b4c6E7UUjwe2yt,preview,EN,,1,1,,3,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-11 12:31:42,2026-02-11 12:34:43,1,100,180,1,2026-02-11 12:34:43,R_6ZpGb2oEhOTjwpH,preview,EN,,1,1,,5,,2,,,1,4,3,3,4,,,4,,5,4,3,4,4,4,1,3,4,3,3,4,,3,IT,1,1
2026-02-12 11:42:28,2026-02-12 11:43:26,1,100,57,1,2026-02-12 11:43:27,R_6O30Q8L7iX6TnQF,preview,EN,,1,2,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 11:37:30,2026-02-15 11:39:20,1,100,109,1,2026-02-15 11:39:20,R_6ERqPJZkTDnzhTz,preview,EN,,1,2,,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 11:39:35,2026-02-15 11:44:47,1,100,311,1,2026-02-15 11:44:47,R_6o8aEk1JKIRTnox,preview,EN,,1,1,,5,,1,,,2,4,4,4,2,,,2,,3,1,3,1,4,3,3,,4,4,4,4,,4,Creative director and communications lead for my start-up.,1,1
2026-02-15 11:45:13,2026-02-15 11:48:48,1,100,214,1,2026-02-15 11:48:48,R_6AT9eD4uV5VLarD,preview,EN,,1,2,,10,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 11:53:06,2026-02-15 11:54:02,1,100,56,1,2026-02-15 11:54:02,R_3IhNeCJ4SocdOhi,preview,EN,,1,2,,6,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 12:55:53,2026-02-15 13:01:45,1,100,351,1,2026-02-15 13:01:45,R_6nu3oiqve8D1X29,preview,EN,,1,1,,6,,6,,,1,4,4,3,3,,,5,,5,4,3,4,2,4,1,4,2,3,3,3,,4,My job is TEST,1,1
2026-02-15 13:09:20,2026-02-15 13:11:32,1,100,132,1,2026-02-15 13:11:33,R_62JUXhU8itMb5hD,preview,EN,,2,2,,11,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 13:13:01,2026-02-15 13:13:24,1,100,22,1,2026-02-15 13:13:24,R_6N52OcNAyiWwoDe,preview,EN,,2,2,,11,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 13:18:53,2026-02-15 13:20:18,1,100,84,1,2026-02-15 13:20:18,R_6smEwvsXJFOI0kB,preview,EN,,1,2,,10,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 13:20:45,2026-02-15 13:24:33,1,100,228,1,2026-02-15 13:24:33,R_5smIz2KMOHt2rH2,preview,EN,,1,1,,11,,1,,,1,4,5,5,5,,,4,,"1,2,4,6",4,4,3,3,4,1,1,2,3,4,5,,5,TEST TEST TEST TEST,1,1
2026-02-15 14:51:09,2026-02-15 14:56:03,1,100,293,1,2026-02-15 14:56:03,R_6oaSxr57JF01fYR,preview,EN,,1,2,,2,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 14:56:17,2026-02-15 14:59:53,1,100,216,1,2026-02-15 14:59:53,R_6KdTvINkJenSwV3,preview,EN,,1,1,,2,,2,,,1,4,4,4,4,,,3,,"3,5,7",2,3,3,3,3,3,,3,2,4,2,,4,j,1,1
2026-02-15 14:54:07,2026-02-15 15:05:27,1,100,679,1,2026-02-15 15:05:27,R_3R3AhhoJld1rhD4,preview,EN,,2,2,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 15:05:40,2026-02-15 15:09:04,1,100,203,1,2026-02-15 15:09:04,R_3AU50XTAB0Re91f,preview,EN,,1,1,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 15:09:12,2026-02-15 15:13:49,1,100,276,1,2026-02-15 15:13:49,R_3fiBrxKioHKcIiw,preview,EN,,1,1,,4,,3,,,1,4,4,4,3,,,4,,4,3,4,4,4,4,2,,4,3,3,3,,4,TEST,1,1
2026-02-15 17:47:26,2026-02-15 17:51:22,1,100,235,1,2026-02-15 17:51:22,R_39shxTrrnUijuq5,preview,EN,,2,2,,6,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 17:52:00,2026-02-15 17:54:29,1,100,148,1,2026-02-15 17:54:29,R_3IYVInglglCH5HM,preview,EN,,1,1,,3,,3,,,1,4,4,4,4,,,6,,"2,3,4",4,4,4,4,5,3,,5,5,5,3,,4,Work,1,1
2026-02-15 20:17:20,2026-02-15 20:24:00,1,100,399,1,2026-02-15 20:24:00,R_6ExXiWNzZcsAL3v,preview,EN,,1,1,,11,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 20:24:18,2026-02-15 20:25:57,1,100,99,1,2026-02-15 20:25:58,R_6vTycHcWdEsJYBj,preview,EN,,2,2,,11,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 20:26:16,2026-02-15 20:31:14,1,100,298,1,2026-02-15 20:31:14,R_6lrZAvvLjoBBFz8,preview,EN,,1,1,,2,,1,,,1,4,4,4,4,,,6,,"2,3,7",3,4,4,4,3,2,,5,4,4,4,,4,Test,1,1
2026-02-15 20:38:10,2026-02-15 20:38:48,1,100,37,1,2026-02-15 20:38:48,R_6FJVi6Pfe3obNPR,preview,EN,,1,1,,5,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-15 20:39:50,2026-02-15 20:43:58,1,100,247,1,2026-02-15 20:43:58,R_6SIxQuc6wATLDBW,preview,EN,,1,1,,3,,2,,,2,4,4,5,5,,,6,,7,5,5,5,5,5,1,5,4,4,5,5,,5,Test,1,1
2026-02-17 10:20:00,2026-02-17 10:20:23,1,100,22,1,2026-02-17 10:20:23,R_67qhm5xBIORIa6t,preview,EN,,1,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-17 10:20:39,2026-02-17 10:21:24,1,100,45,1,2026-02-17 10:21:25,R_6EyrC9wqn38LWRu,preview,EN,,1,1,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-02-20 16:50:05,2026-02-20 16:52:03,1,100,117,1,2026-02-20 16:52:03,R_7MwuShkfJTHX4fD,preview,EN,1,2,2,40,4,,3,,4,1,2,3,4,2,"2,7",,5,10,4,4,3,4,4,4,2,,3,2,4,3,40,2,IT,1,1
2026-02-20 16:52:40,2026-02-20 16:53:48,1,100,68,1,2026-02-20 16:53:49,R_7iajOpBGbhckNp4,preview,EN,1,1,1,5,3,,4,,5,1,3,4,3,2,3,,5,5,4,3,2,2,3,4,3,,3,2,3,4,5,2,55,1,1
2026-02-23 10:07:13,2026-02-23 10:10:29,0,100,195,1,2026-02-23 10:10:29,R_6DViTSCAAczoCkN,anonymous,EN,1,1,1,36,8,,1,,2,1,4,4,5,2,"5,9",ChatGPT; Microsoft Co-Pilot,6,15,"1,2,3,6",4,5,5,1,4,1,4,5,5,4,5,5,4,I currently work as an Associate Marriage and Family therapist in a group practice setting,1,1
2026-02-23 10:08:08,2026-02-23 10:10:32,0,100,144,1,2026-02-23 10:10:33,R_5fJA8hOj2KKbWq6,anonymous,EN,1,1,1,40,3,,1,,1,1,4,2,3,4,10,,1,0,7,1,1,1,3,3,2,,3,4,3,4,26,4,"Test technician responsible for testing equipment to ensure full functionality ",1,1
2026-02-23 10:08:05,2026-02-23 10:10:35,0,100,149,1,2026-02-23 10:10:35,R_3TTbsMCbFhjLsvj,anonymous,EN,1,1,1,40,1,,1,,1,1,4,4,3,4,"1,3",,6,5,"2,3,4",2,4,4,2,3,2,,4,4,3,4,5,4,I'm a software developer,1,1
2026-02-23 10:07:21,2026-02-23 10:11:29,0,100,248,1,2026-02-23 10:11:29,R_6eV61acyFOt3nDb,anonymous,EN,1,1,1,40,3,,3,,4.6,1,4,4,4,2,"1,5,7",,6,15,"1,2,4,5",4,4,4,3,4,1,4,4,4,3,4,40,4,Quality manager of a lab,1,1
